"","season","team","round","pick","playerid","full_name","name","side","category","position","aval","gms","Games","AverageValue","AVPer16"
"510",2001,"PHI",3,63,"BurgDe99","Derrick Burgess","D.Burgess","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",102,47,7.37254901960784
"511",2002,"ARI",3,81,"McCoJo01","Josh McCown","J.McCown","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",102,47,7.37254901960784
"512",2003,"IND",6,198,"JuneCa99","Cato June","C.June","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",89,41,7.37078651685393
"513",2013,"JAX",1,2,"JoecLu00","Luke Joeckel","L.Joeckel","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",50,23,7.36
"514",2007,"DAL",4,122,"FreeDo20","Doug Free","D.Free","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",124,57,7.35483870967742
"515",2011,"CIN",4,101,"BoliCl00","Clint Boling","C.Boling","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",111,51,7.35135135135135
"516",2013,"IND",3,86,"ThorHu00","Hugh Thornton","H.Thornton","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",37,17,7.35135135135135
"517",2010,"PIT",3,82,"SandEm00","Emmanuel Sanders","E.Sanders","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",144,66,7.33333333333333
"518",2013,"CAR",2,44,"ShorKa00","Kawann Short","K.Short","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",96,44,7.33333333333333
"519",2002,"MIN",1,7,"McKiBr21","Bryant McKinnie","B.McKinnie","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",179,82,7.32960893854749
"520",2006,"NO",5,135,"NinkRo20","Rob Ninkovich","R.Ninkovich","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",131,60,7.32824427480916
"521",2002,"BUF",1,4,"WillMi22","Mike Williams","M.Williams","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",59,27,7.32203389830508
"522",2001,"MIA",2,52,"ChamCh00","Chris Chambers","C.Chambers","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",153,70,7.3202614379085
"523",2010,"NO",3,95,"GrahJi00","Jimmy Graham","J.Graham","O","TE","TE","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",153,70,7.3202614379085
"524",2004,"DAL",2,43,"JoneJu01","Julius Jones","J.Jones","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",94,43,7.31914893617021
"525",2002,"NE",2,65,"BranDe00","Deion Branch","D.Branch","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",140,64,7.31428571428571
"526",2006,"TB",1,23,"JoseDa20","Davin Joseph","D.Joseph","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",116,53,7.31034482758621
"527",2009,"CIN",1,6,"SmitAn23","Andre Smith","A.Smith","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",116,53,7.31034482758621
"528",2006,"SD",1,19,"CromAn20","Antonio Cromartie","A.Cromartie","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",162,74,7.30864197530864
"529",2014,"DET",2,40,"VanNKy00","Kyle Van Noy","K.Noy","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",81,37,7.30864197530864
"530",2016,"HOU",2,50,"MartNi00","Nick Martin","N.Martin","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",46,21,7.30434782608696
"531",2017,"ARI",2,36,"BakeBu00","Budda Baker","B.Baker","D","DB","S","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",46,21,7.30434782608696
"532",2007,"NYG",7,250,"BradAh00","Ahmad Bradshaw","A.Bradshaw","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",103,47,7.30097087378641
"533",2012,"NO",3,89,"HickAk00","Akiem Hicks","A.Hicks","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",114,52,7.29824561403509
"534",2016,"CHI",5,150,"HowaJo00","Jordan Howard","J.Howard","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",57,26,7.29824561403509
"535",2003,"CIN",2,33,"SteiEr20","Eric Steinbach","E.Steinbach","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",125,57,7.296
"536",2007,"KC",1,23,"BoweDw00","Dwayne Bowe","D.Bowe","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",125,57,7.296
"537",2014,"TEN",5,151,"WillAv00","Avery Williamson","A.Williamson","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",79,36,7.29113924050633
"538",2001,"BUF",1,21,"ClemNa99","Nate Clements","N.Clements","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",180,82,7.28888888888889
"539",2005,"CHI",6,181,"HarrCh20","Chris Harris","C.Harris","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",101,46,7.28712871287129
"540",2012,"HOU",3,76,"BrooBr00","Brandon Brooks","B.Brooks","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",112,51,7.28571428571429
"541",2009,"NO",1,14,"JenkMa99","Malcolm Jenkins","M.Jenkins","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",167,76,7.2814371257485
"542",2005,"DAL",4,109,"BarbMa01","Marion Barber","M.Barber","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",99,45,7.27272727272727
"543",2008,"DET",1,17,"CherGo20","Gosder Cherilus","G.Cherilus","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",132,60,7.27272727272727
"544",2009,"SF",1,10,"CrabMi00","Michael Crabtree","M.Crabtree","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",143,65,7.27272727272727
"545",2014,"PIT",4,118,"BryaMa00","Martavis Bryant","M.Bryant","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",44,20,7.27272727272727
"546",2013,"NYG",1,19,"PughJu00","Justin Pugh","J.Pugh","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",86,39,7.25581395348837
"547",2003,"NYG",2,56,"UmenOs99","Osi Umenyiora","O.Umenyiora","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",161,73,7.25465838509317
"548",2010,"CAR",6,175,"HardGr99","Greg Hardy","G.Hardy","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",75,34,7.25333333333333
"549",2004,"NO",1,18,"SmitWi99","Will Smith","W.Smith","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",139,63,7.25179856115108
"550",2003,"IND",5,138,"MathRo20","Robert Mathis","R.Mathis","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",192,87,7.25
"551",2004,"DET",1,30,"JoneKe02","Kevin Jones","K.Jones","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",64,29,7.25
"552",2016,"HOU",1,21,"FullWi01","Will Fuller","W.Fuller","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",42,19,7.23809523809524
"553",2012,"HOU",1,26,"MercWh00","Whitney Mercilus","W.Mercilus","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",115,52,7.23478260869565
"554",2001,"CIN",7,204,"HousTJ00","T.J. Houshmandzadeh","T.Houshmandzadeh","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",146,66,7.23287671232877
"555",2016,"DET",3,95,"GlasGr00","Graham Glasgow","G.Glasgow","O","OL","C","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",62,28,7.2258064516129
"556",2018,"TEN",1,22,"EvanRa01","Rashaan Evans","R.Evans","D","LB","ILB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",31,14,7.2258064516129
"557",2006,"PIT",4,131,"ColoWi20","Willie Colon","W.Colon","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",100,45,7.2
"558",2012,"JAX",1,5,"BlacJu00","Justin Blackmon","J.Blackmon","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",20,9,7.2
"559",2012,"TEN",2,52,"BrowZa00","Zach Brown","Z.Brown","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",100,45,7.2
"560",2002,"NO",1,25,"GranCh21","Charles Grant","C.Grant","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",118,53,7.1864406779661
"561",2001,"ATL",7,219,"FornKy20","Kynan Forney","K.Forney","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",98,44,7.18367346938776
"562",2013,"ARI",3,69,"MathTy00","Tyrann Mathieu","T.Mathieu","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",98,44,7.18367346938776
"563",2011,"KC",2,55,"HudsRo00","Rodney Hudson","R.Hudson","O","OL","C","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",127,57,7.18110236220472
"564",2004,"DEN",1,17,"WillD.20","D.J. Williams","D.Williams","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",145,65,7.17241379310345
"565",2013,"TB",3,73,"GlenMi00","Mike Glennon","M.Glennon","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",29,13,7.17241379310345
"566",2016,"DEN",3,98,"SimmJu00","Justin Simmons","J.Simmons","D","DB","FS","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",58,26,7.17241379310345
"567",2003,"CLE",1,21,"FainJe20","Jeff Faine","J.Faine","O","OL","C","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",125,56,7.168
"568",2006,"SEA",4,128,"SimsRo20","Rob Sims","R.Sims","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",125,56,7.168
"569",2003,"DAL",1,5,"NewmTe20","Terence Newman","T.Newman","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",221,99,7.16742081447964
"570",2012,"MIA",4,97,"MillLa01","Lamar Miller","L.Miller","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",105,47,7.16190476190476
"571",2002,"SF",7,248,"KosiKy20","Kyle Kosier","K.Kosier","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",143,64,7.16083916083916
"572",2001,"ARI",3,64,"WilsAd99","Adrian Wilson","A.Wilson","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",181,81,7.16022099447514
"573",2007,"JAX",1,21,"NelsRe99","Reggie Nelson","R.Nelson","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",181,81,7.16022099447514
"574",2004,"CAR",1,28,"GambCh20","Chris Gamble","C.Gamble","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",123,55,7.15447154471545
"575",2017,"LAC",3,71,"FeenDa00","Dan Feeney","D.Feeney","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",47,21,7.14893617021277
"576",2002,"BAL",2,52,"WeavAn20","Anthony Weaver","A.Weaver","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",103,46,7.14563106796117
"577",2013,"DET",2,36,"SlayDa00","Darius Slay","D.Slay","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",103,46,7.14563106796117
"578",2010,"OAK",1,8,"McClRo00","Rolando McClain","R.McClain","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",65,29,7.13846153846154
"579",2008,"IND",6,205,"GarcPi00","Pierre Garcon","P.Garcon","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",148,66,7.13513513513514
"580",2006,"CIN",1,24,"JoseJo20","Johnathan Joseph","J.Joseph","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",200,89,7.12
"581",2001,"CHI",3,68,"GandMi20","Mike Gandy","M.Gandy","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",108,48,7.11111111111111
"582",2004,"BUF",1,22,"LosmJ.00","J.P. Losman","J.Losman","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",45,20,7.11111111111111
"583",2007,"MIA",2,40,"BeckJo00","John Beck","J.Beck","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",9,4,7.11111111111111
"584",2007,"MIN",2,44,"RiceSi01","Sidney Rice","S.Rice","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",81,36,7.11111111111111
"585",2008,"HOU",3,89,"SlatSt00","Steve Slaton","S.Slaton","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",45,20,7.11111111111111
"586",2009,"CHI",5,140,"KnoxJo00","Johnny Knox","J.Knox","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",45,20,7.11111111111111
"587",2013,"SEA",7,242,"BowiMi00","Michael Bowie","M.Bowie","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",9,4,7.11111111111111
"588",2015,"MIA",5,149,"AjayJa00","Jay Ajayi","J.Ajayi","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",45,20,7.11111111111111
"589",2018,"DET",2,43,"JohnKe06","Kerryon Johnson","K.Johnson","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",18,8,7.11111111111111
"590",2019,"TEN",1,19,"SimmJe01","Jeffery Simmons","J.Simmons","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",9,4,7.11111111111111
"591",2006,"TEN",7,215,"FinnCo20","Cortland Finnegan","C.Finnegan","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",133,59,7.09774436090226
"592",2006,"PHI",3,71,"GocoCh99","Chris Gocong","C.Gocong","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",79,35,7.08860759493671
"593",2015,"DET",1,28,"TomlLa01","Laken Tomlinson","L.Tomlinson","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",79,35,7.08860759493671
"594",2008,"DET",3,92,"AvriCl99","Cliff Avril","C.Avril","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",140,62,7.08571428571429
"595",2003,"BUF",4,111,"McGeTe99","Terrence McGee","T.McGee","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",122,54,7.08196721311475
"596",2016,"DAL",3,67,"CollMa00","Maliek Collins","M.Collins","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",61,27,7.08196721311475
"597",2016,"CLE",4,99,"SchoJo00","Joe Schobert","J.Schobert","D","LB","OLB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",61,27,7.08196721311475
"598",2000,"MIN",1,25,"HovaCh20","Chris Hovan","C.Hovan","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",156,69,7.07692307692308
"599",2006,"CIN",4,123,"PekoDo20","Domata Peko","D.Peko","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",208,92,7.07692307692308
"600",2001,"DET",2,61,"RogeSh99","Shaun Rogers","S.Rogers","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",163,72,7.06748466257669
"601",2008,"KC",1,15,"AlbeBr20","Branden Albert","B.Albert","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",120,53,7.06666666666667
"602",2003,"SEA",1,11,"TrufMa20","Marcus Trufant","M.Trufant","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",136,60,7.05882352941176
"603",2008,"CAR",1,13,"StewJo00","Jonathan Stewart","J.Stewart","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",134,59,7.04477611940298
"604",2011,"CLE",2,37,"SheaJa00","Jabaal Sheard","J.Sheard","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",134,59,7.04477611940298
"605",2001,"BUF",3,95,"JennJo20","Jonas Jennings","J.Jennings","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",75,33,7.04
"606",2018,"ARI",2,47,"KirkCh01","Christian Kirk","C.Kirk","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",25,11,7.04
"607",2001,"DET",1,18,"BackJe20","Jeff Backus","J.Backus","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",191,84,7.03664921465969
"608",2005,"SD",1,28,"CastLu20","Luis Castillo","L.Castillo","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",82,36,7.02439024390244
"609",2007,"ARI",1,5,"BrowLe20","Levi Brown","L.Brown","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",82,36,7.02439024390244
"610",2013,"NYG",2,49,"HankJo00","Johnathan Hankins","J.Hankins","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",98,43,7.02040816326531
"611",2011,"SEA",1,25,"CarpJa00","James Carpenter","J.Carpenter","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",114,50,7.01754385964912
"612",2001,"STL",2,42,"PollTo21","Tommy Polley","T.Polley","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",73,32,7.01369863013699
"613",2002,"HOU",2,50,"PittCh20","Chester Pitts","C.Pitts","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",121,53,7.00826446280992
"614",2010,"DEN",2,45,"BeadZa20","Zane Beadles","Z.Beadles","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",137,60,7.00729927007299
"615",2008,"MIN",6,187,"SullJo24","John Sullivan","J.Sullivan","O","OL","C","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",153,67,7.00653594771242
"616",2005,"CIN",2,48,"ThurOd20","Odell Thurman","O.Thurman","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",16,7,7
"617",2015,"WAS",2,38,"SmitPr00","Preston Smith","P.Smith","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",80,35,7
"618",2017,"NYG",2,55,"TomlDa00","Dalvin Tomlinson","D.Tomlinson","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",48,21,7
"619",2017,"CHI",4,119,"CoheTa00","Tarik Cohen","T.Cohen","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",48,21,7
"620",2018,"DEN",2,40,"SuttCo00","Courtland Sutton","C.Sutton","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",32,14,7
"621",2019,"NYG",1,17,"LawrDe03","Dexter Lawrence","D.Lawrence","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",16,7,7
"622",2019,"BUF",2,38,"FordCo00","Cody Ford","C.Ford","O","OL","OT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",16,7,7
"623",2019,"KC",2,56,"HardMe00","Mecole Hardman","M.Hardman","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",16,7,7
"624",2019,"CLE",5,155,"WilsMa03","Mack Wilson","M.Wilson","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",16,7,7
"625",2005,"SD",4,130,"SproDa00","Darren Sproles","D.Sproles","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",183,80,6.99453551912568
"626",2008,"OAK",1,4,"McFaDa00","Darren McFadden","D.McFadden","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",103,45,6.99029126213592
"627",2012,"ARI",4,112,"MassBo00","Bobby Massie","B.Massie","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",110,48,6.98181818181818
"628",2005,"WAS",1,9,"RogeCa20","Carlos Rogers","C.Rogers","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",133,58,6.97744360902256
"629",2015,"ATL",1,8,"BeasVi00","Vic Beasley","V.Beasley","D","LB","OLB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",78,34,6.97435897435897
"630",2016,"BAL",5,146,"JudoMa00","Matt Judon","M.Judon","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",62,27,6.96774193548387
